URL,Status Code,Content-Type,Parent URL,Input Line,lo
http://generic.wordpress.soton.ac.uk/researchmethods/wp-content/uploads/sites/308/2018/11/Time-Management-Weekly-Planner.pdf,503,text/html; charset=UTF-8,https://library.soton.ac.uk/sash/time-management,958,Wordpress
https://generic.wordpress.soton.ac.uk/researchmethods/wp-content/uploads/sites/308/2019/07/Gantt_chart.xlsx,200,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://library.soton.ac.uk/sash/time-management,15,Wordpress
https://guides.soton.ac.uk/open/library/articulate/search-strategy/story.html,200,text/html,https://library.soton.ac.uk/c.php?g=681225&p=4858148,66,Articulate
https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.thinglink.com%2Fview%2Fscenario%2F1849044688238019046&data=05%7C02%7CB.K.Kimber-Bradshaw%40soton.ac.uk%7Ccef42b6ef06e4597cba908dc80ac111a%7C4a5378f929f44d3ebe89669d03ada9d8%7C0%7C0%7C638526723706824710%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=K2juLOm9vuIgeRcMNgn58BjtpHHXHXaEtAwFSDVyEKw%3D&reserved=0,200,text/html;charset=UTF-8,https://library.soton.ac.uk/sash/workshops/assignment-planning,295,ThingLink
https://guides.soton.ac.uk/open/library/articulate/Using%20Turnitin%20A%20student%20guide%20(Southampton%20Business%20School)/story_content/external_files/Tii%20initial%20support-advice-resources%20(Sept%202019).docx,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://library.soton.ac.uk/sash/turnitin,512,Articulate
https://guides.soton.ac.uk/open/library/articulate/Using%20Turnitin%20A%20student%20guide%20(Southampton%20Business%20School)/story_html5.html,200,text/html,https://library.soton.ac.uk/sash/turnitin,574,Articulate
https://generic.wordpress.soton.ac.uk/publishingresearch/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/sash/workshops/publishing,615,Wordpress
https://guides.soton.ac.uk/open/library/articulate/Meeting-with-an-Academic-Integrity-Panel/story_content/external_files/A%20brief%20guide%20for%20students%20attending%20an%20Academic%20Integrity%20Panel%20meeting%20v2.docx,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://library.soton.ac.uk/sash/academic-conduct-meeting,828,Articulate
https://guides.soton.ac.uk/open/library/articulate/Meeting-with-an-Academic-Integrity-Panel/story_html5.html,200,text/html,https://library.soton.ac.uk/sash/academic-conduct-meeting,835,Articulate
https://guides.soton.ac.uk/open/library/articulate/Meeting-with-an-Academic-Integrity-Officer/story_html5.html,200,text/html,https://library.soton.ac.uk/sash/academic-conduct-meeting,846,Articulate
https://generic.wordpress.soton.ac.uk/researchmethods/managing-data/,200,text/html; charset=UTF-8,http://library.soton.ac.uk/sash/managing-data,53,Wordpress
https://guides.soton.ac.uk/open/library/articulate/Referencing/story.html  ,404,text/html; charset=utf-8,https://library.soton.ac.uk/sash/workshops/referencing-plagiarism,231,Articulate
https://generic.wordpress.soton.ac.uk/gettingstarted/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/studying_online,460,Wordpress
https://www.thinglink.com/card/1693378661689852899,200,text/html;charset=UTF-8,http://library.soton.ac.uk/sash/research-methods,520,ThingLink
https://generic.wordpress.soton.ac.uk/researchmethods/,200,text/html; charset=UTF-8,http://library.soton.ac.uk/sash/research-methods,595,Wordpress
https://guides.soton.ac.uk/open/library/articulate/An-introduction-to-Academic-Integrity/story_html5.html,200,text/html,https://library.soton.ac.uk/sash/what-is-academic-responsibility,701,Articulate
http://www.powtoon.com/c/g9lxfoL52Lu/2/m,200,text/html; charset=utf-8,https://library.soton.ac.uk/sash/what-is-academic-responsibility,726,Powtoon
https://generic.wordpress.soton.ac.uk/gettingstarted/plagiarism/,200,text/html; charset=UTF-8,https://library.soton.ac.uk/sash/what-is-academic-responsibility,747,Wordpress
https://guides.soton.ac.uk/open/library/articulate/An-introduction-to-Academic-Integrity/story_content/external_files/Introduction%20to%20Academic%20Integrity.docx,200,application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://library.soton.ac.uk/sash/what-is-academic-responsibility,768,Articulate
https://guides.soton.ac.uk/open/library/articulate/evaluating-information/story.html,200,text/html,https://library.soton.ac.uk/EvaluatingInformation,193,Articulate
https://guides.soton.ac.uk/open/library/articulate/evaluating-information/story_html5.html,200,text/html,http://library.soton.ac.uk/sash/evaluation,472,Articulate
https://guides.soton.ac.uk/open/library/articulate/evaluating-information/story_html5.html,200,text/html,http://library.soton.ac.uk/sash/introduction-to-research-skills,572,Articulate
https://guides.soton.ac.uk/open/library/articulate/search-strategy/story.html,200,text/html,http://library.soton.ac.uk/sash/introduction-to-research-skills,586,Articulate
https://guides.soton.ac.uk/open/library/articulate/search-strategy/story_html5.html,200,text/html,http://library.soton.ac.uk/sash/introduction-to-research-skills,589,Articulate
https://eur03.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.thinglink.com%2Fview%2Fscenario%2F1849044688238019046&data=05%7C02%7CB.K.Kimber-Bradshaw%40soton.ac.uk%7Ccef42b6ef06e4597cba908dc80ac111a%7C4a5378f929f44d3ebe89669d03ada9d8%7C0%7C0%7C638526723706824710%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=K2juLOm9vuIgeRcMNgn58BjtpHHXHXaEtAwFSDVyEKw%3D&reserved=0,200,text/html;charset=UTF-8,https://library.soton.ac.uk/sash/workshops/academic-writing,944,ThingLink
https://www.thinglink.com/view/scenario/1910331815164379813,200,text/html;charset=UTF-8,https://library.soton.ac.uk/sash/workshops/academic-writing,964,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/engineering,655,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,https://library.soton.ac.uk/international,826,ThingLink
https://www.thinglink.com/card/1605566995493814273,200,text/html;charset=UTF-8,http://library.soton.ac.uk/ecs,977,ThingLink
